,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
THRD_L,0,,,,0,0,,0,0,0,,,8.810477124,0
THRt2r,4.857236095,6.964963427,,,,,,,,,,,,
THYMt,0,,,-228.5714286,-400,,,,,,,-16.54696093,,-8.596750846
THYMt3pp,0,,,,,,,,,,,,,
THYMtex,-1000,,,,,,,,,,,,,
TKT1,-0.00592992,0,-24.46134284,-1.26E-18,-23.86597975,-17.05978031,-0.008423191,-7.16821409,-1.28E-15,0,0,,0,
TKT2,-0.00592992,-0.001525255,-46.80830593,-4.641550634,-45.26971875,-23.99419495,-9.098489963,-58.5458928,0,-42.31444216,,,-25.20980974,
TMDPK,0.004269685,,,,,,,,0,,,,,
TPI,-500.0015773,,,-0.548063393,739.4623346,-1000,-8.860793768,-132.5479339,-80.71009907,,-265.9744807,-1000,-160.9185272,-30.89048793
TREP,122.2316524,0,0,,0,,,,,,,,0,
TREt2,122.2316524,,,,,,,,,,,,,
TRPt2r,1.088348521,1.560621617,,,1.73105699,,,,,,,,,
TSULR3e,-89.19519957,,,,,,,,,-98.46837169,,,-138.9865275,
TYRTA,-2.933595023,-1000,-38.73128204,-1000,0,0,,-3.008579943,-8.288197698,-1000,-1000,-11.63568087,-1000,-1000
TYRTAi,0,,,,0,0,,,,,0,,0,
UAAGDS,0,2.745494813,0,,3.045330102,,0,1.963597166,,0,4.037818538,,0,
UACCpts,1.914657075,2.745494813,,0.883666165,,,,0,2.888213726,,,2.108750436,,1.497774619
UAGDP,1.914657075,,8.74459611,0.883666165,6.090660205,4.510696779,2.719595433,,,3.106636103,,2.108750436,6.065127491,1.497774619
UAGHD,1.914657075,2.745494813,,0.883666165,,,,,2.888213726,,4.037818538,2.108750436,,
UAGPT3,1.914657075,2.745494813,4.372298055,0.883666165,3.045330102,2.25534839,1.359797716,1.963597166,2.888213726,1.553318051,4.037818538,2.108750436,3.032563745,1.497774619
UAMAGS,0,2.745494813,0,,3.045330102,,0,1.963597166,,0,4.037818538,,0,
UAMAS,0,2.745494813,0,,3.045330102,,0,1.963597166,,0,4.037818538,,0,
UDCPDP,0,,0,,0,0,0,0,,1.553318051,0,,0,
UDCPPtexi,1.914657075,2.745494813,4.372298055,0.883666165,3.045330102,0,1.359797716,1.963597166,2.888213726,,4.037818538,2.108750436,3.032563745,1.497774619
UGMDDS,1.914657075,2.745494813,4.372298055,0.883666165,3.045330102,2.25534839,1.359797716,1.963597166,2.888213726,1.553318051,4.037818538,2.108750436,3.032563745,1.497774619
UM4PCP,1.914657075,,,,,0,,,,,,,0,0
UM4PL,1.914657075,,,,,0,,,,,,,0,0
UMPK,5.832600702,,17.6915859,2.93019282,3.045330102,5.505395633,5.318447628,5.981686411,,3.791711496,16.37048732,6.425974115,12.29489287,4.36032896
UMPt6,0,,0,,,,,,,,,4.317223679,,
UPP3MT,0,,,,,,,,,,0,,0,0
UPP3S,0,,0,0,3.002614272,,,,,-2.02E-14,-2.11E-17,,0,0
URAt,-1000,-3.050549793,,,-1000,,,0,-4.04514058,,,,,
URAt2,0,,,,,,,,,,,,,
UREA,0,0,,,0,,,,0,,,0,,0
VALt2r,8.102101173,,18.5019039,,,,,,,,,,,0
XYLI2,122.2316524,,-254.4376202,,,,,,,-157.789799,,0,-215.3636048,
r0963,0.012809056,0.01836736,,0.005911727,0.020373258,,0.009097047,,,,0.027013006,,0.020287851,0.010020112
r2465_1,-0.007254423,,,-228.5744419,,,,,-1000,,,,-1000,-403.6339307
sink_sheme_c,0,,,,,,,,,,0,,0,0
EX_3pg_e,-1000,,,,,,,,,,-301.3004334,,,
EX_4abut_e,0,,,,-155.1333812,-1000,-109.6228465,,,0,,,,
EX_4abutn_e,0,,,,,0,,,,,0,0,-218.2613256,
EX_4hpro_LT_e,-265.9646893,,,,-100,-673.9997173,,,,,-159.1224514,,-268.8280586,-148.7964459
EX_LalaDgluMdapDala_e,-2.12739675,,,-0.981851294,-109.3410324,,-1.510886352,,-3.209126362,,,-140,,-1.664194021
EX_ac_e,875,728,,,800,-104.428978,-65.90905417,,,-104,,-76.8958727,800,
EX_acald_e,-1000,-1000,-524.6224227,-1000,-357.8575607,-1000,-197.2804046,18.46060457,0,-1000,-1000,-503.3635736,-1000,-51.79835177
EX_adn_e,-9.487898768,,,,,-45.20716433,,,0,-107.1644351,,,,
EX_alaala_e,0,-3.050549793,-98.8167425,-0.981851294,-74.92424166,-152.2553484,,-13.19404478,-1.604563181,-500,,-2.34305604,-201.148159,-74.39822293
EX_anhgm_e,0,,0,,0,-68.49031381,,0,,,0,,,
EX_arg__L_e,-509.8958477,,,-42.61381382,,-306.6711401,-4.469080957,-99.63965548,,-5.10510059,-13.27060468,-187.2963399,-210.1182399,-4.922552779
EX_asn__L_e,-5.128196237,,,,,-6.040700067,,-5.259276832,-7.735759552,-4.16038981,,-147.6967071,,
EX_bz_e,-0.002127397,,-1000,-0.000981851,-0.0033837,-0.002505943,-100.0013598,-0.002181775,-0.003209126,-0.001725909,-0.004482101,-0.002343056,-0.003369515,-0.001664194
EX_ca2_e,-0.110731001,-0.158781117,-0.252864571,-0.05110536,-0.176121591,-0.130434315,-0.078641635,-0.113561369,-0.167035027,-0.089833561,-0.233520505,-0.121956067,-0.17538327,-0.086621299
EX_cgly_e,0,-2.793686977,-1000,-1000,-1000,-1000,-54.34472232,-122.0147866,-46.42239394,-1000,-1000,-1000,-1000,-10.04029514
EX_chor_e,-6.874916613,-0.003050543,-392.5205188,-102.0112463,,-154.1934595,-66.02336774,-402.6780978,,,-320.3487804,-12.55661565,,-148.7964459
EX_cl_e,-0.110731001,-0.158781117,-0.252864571,-0.05110536,-0.176121591,-0.130434315,-0.078641635,-0.113561369,-0.167035027,-0.089833561,-0.233520505,-0.121956067,-0.17538327,-0.086621299
EX_co2_e,500,401.6153157,716.6666667,900,800,700,878.6281885,206.8667978,176.0261591,-4.947927739,716.7074841,650,597.7036821,-72.73388552
EX_coa_e,-0.012253805,-0.017571167,0.202393677,-0.005655463,-0.019490113,-0.01443423,-0.008702705,-0.01253666,-0.018484568,-0.009941236,-0.025842039,-0.013496003,-0.019408408,
EX_cobalt2_e,-0.002127397,-0.00305055,-0.004858109,-0.000981851,-0.0033837,-0.002505943,-0.001510886,-0.002176504,-0.003209126,-0.001725909,-0.004486465,-0.002343056,-0.003369515,-0.001664194
EX_cu2_e,-0.015083243,-0.021628398,-0.034443992,-0.006961326,-0.023990434,-0.017767133,,-0.01543141,-0.022752706,-0.012236694,-0.031809037,-0.016612267,-0.023889863,-0.011799136
EX_cyan_e,-143.9355516,,,-57.14285714,,,,,,,,,,
EX_dhap_e,488.9116656,,-225.3255477,,-1000,,,,-62.2818591,,,-368.0415831,,-110.0783756
EX_dtmp_e,-0.556654634,,-1.271172788,,,,-0.395338523,-0.570883149,-510.4546096,,,-0.613084043,-0.881667366,-0.435453008
EX_fe2_e,-6.751575699,0,,,-14.32658376,-616.5642709,,0,-802.5261155,-42.91020311,-17.39614106,,-23.78802377,-8.550855141
EX_fe3_e,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-874.6948682,-1000,-1000,-1000,-1000,-1000
EX_fe3pyovd_kt_e,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-874.6948682,-1000,-1000,-1000,-1000,-1000
EX_fol_e,-0.014232284,-0.020408178,,-0.006568585,-0.022636954,,-0.01010783,-0.014596072,-0.021469055,,-0.030014451,-0.015675045,-0.022542057,-0.011133458
EX_for_e,-0.007116142,-609.5771057,0,,,-25.10423169,,,0,0,,,0,-7.969252556
EX_fum_e,0,,-268.4131606,,,-329.3731612,,,8.54021693,,,4.78E-14,-1000,
EX_gam6p_e,-6.302401818,0,,-0.981851294,-32.75732687,,,,0,-3.451817892,0,,-6.739030545,
EX_glu__D_e,-2.116739537,-3.050549793,,,,,,,,,,,,
EX_glu__L_e,-500,,-1000,-1000,-1000,-1000,-1000,-301.7374758,-124.0505198,-1000,-1000,-1000,-1000,
EX_glutar_e,-0.017018884,,,,,,,,,,,,,-33.59928124
EX_glyclt_e,-530.2985081,,,51.71866175,,,,,,,,-695.7779337,,-999.9985022
EX_gthox_e,-89.19519957,,,,,,,,,-53.17292071,,,-52.43120863,
EX_gua_e,0,,,,-8.158895913,-30.76440844,,,,0,,,-25.99911768,
EX_h2o_e,-519.5137084,-53.42112091,-1000,-1000,-1000,-1000,-1000,-1000,-590.2850214,-1000,-1000,-1000,-1000,-569.0161723
EX_h2s_e,-89.27825739,-0.13233285,-18.88534711,-8.267813816,-128.4341556,-598.032389,-49.31057123,-29.6097194,-4.676592315,-52.41784639,-69.81619978,-12.14923842,-139.1180801,-0.072192737
EX_h_e,-492.5443541,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-701.6322769,-1000,-1000,-1000,-1000,-1000
EX_his__L_e,-2.015350831,-2.890029863,,,-3.205649814,-152.136672,-1.429337582,-130.0835853,,-1.633807279,,-2.219764431,,-1.576624132
EX_ile__L_e,-6.180704505,-8.845438847,-14.11421535,-25.61040166,-144.7504173,-306.5524411,-4.389563009,-441.8918919,-9.306826877,-5.014266002,-153.3772918,-6.807175255,,
EX_k_e,-4.152529539,-5.954459657,-9.482688603,-1.916504997,-6.604745763,-4.891424647,-2.949144396,-4.258671352,-6.26399002,-3.368853449,-8.75726571,-4.573481375,-6.577057946,-3.248390236
EX_leu__L_e,-9.584581854,-13.74367249,,-4.423544455,-75.81343744,-310.1610437,-6.795886499,-32.78436128,,-7.718049392,-20.13890383,-85.16711344,0,
EX_lys__L_e,-7.300395963,-10.46829717,-16.67113525,,-265.7367037,-157.7394761,-5.184772713,-41.37813018,-11.01247012,-5.891777818,-155.5024764,-8.040454536,,-56.92950295
EX_man6p_e,-255.5441672,,,,,,,,,,,,,
EX_met__L_e,-3.274255065,-4.69507068,,-1.511157509,-5.207819008,-156.7485324,-2.325390075,-540.454648,-4.935849203,-102.3906963,-154.4595306,-19.67795814,,-2.561344376
EX_mevR_e,-0.017019174,,,,,,,,,,,,,
EX_mg2_e,-0.184551668,-0.264635195,-0.421440951,-0.0851756,-0.293535985,-0.217390525,-0.131069391,-0.189268949,-0.278391712,-0.149722601,-0.389200842,-0.203260111,-0.29230545,-0.144368831
EX_mn2_e,-0.014700312,-0.021079299,-0.033569533,-0.006784592,-0.023381368,-0.017316064,-0.010440225,-0.015076063,-0.022175063,-0.011926031,-0.031001473,-0.016190517,-0.023283351,-0.011499581
EX_nh4_e,-59.91326403,-158.7958605,281.1789752,-752.6055619,-237.055328,-151.547169,743.9959628,173.2402463,119.1287304,-94.5078798,-372.1745932,-131.9957694,-287.6972381,-0.216812029
EX_nmn_e,-0.048462098,-13.06011769,,-23.85402682,-0.077080689,-1000,-0.034417991,-413.4085414,-0.073103899,,,,,
EX_o2_e,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
EX_orn_e,-20.94657094,-52.85779612,,,-168.1439687,-564.3864534,-7.627610697,-151.9211327,,-8.8410055,-9.917555299,,-7.384183329,-576.1705335
EX_ppap_e,0,,,-2.30E-13,0,0,,,1.51E-13,-3.96E-13,0,6.51E-14,0,0
EX_pydam_e,-0.007906038,,,,,,,,,,,,,
EX_pyovd_kt_e,-1000,-999.7856318,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
EX_quin_e,-6.804180807,,,,,,,,,,,-11.18535755,,
EX_ribflv_e,-0.00948819,-0.013605336,-77.90856786,,-200.0135822,,,-93.01798738,-90.39749682,-0.007697554,,,,-20.77155164
EX_ser__L_e,-17.08488124,,,-44.44444444,-105.4335008,-168.4999293,-60.68590576,-129.592798,,-108.3333333,,-241.4117665,,
EX_tcynt_e,15.83215576,,,0,,,,,,,,,,
EX_thm_e,-0.004744095,-0.006802668,0,-0.002189528,0,-0.005588252,,-0.004865357,-0.007156352,,0,0,0,0
EX_thr__L_e,-11.5776335,-7.738848253,,-59.38460333,-153.670605,-158.9977462,-64.1355358,-587.3698324,,-107.940566,-119.2020807,-150.1966856,,
EX_thym_e,0,,,0,-154.7572705,,,-90.31449407,-497.5623736,,,-181.0419548,,-10.04346222
EX_tre_e,-250.0083572,-47.64251252,,,-1000,-100,-100,-275.4716377,,-68.63590321,-392.0847344,,-114.7071798,
EX_trp__L_e,-1.209276135,-1.734024019,,,-1.923396656,-100.8546718,,-1.239452832,,-0.980170787,,,,-0.945977807
EX_uaccg_e,-6.302401818,-3.050549793,,-0.981851294,,,,-6.950471653,-3.209126362,,,-2.34305604,,-1.664194021
EX_udcpp_e,-2.12739675,-3.050549793,-4.85810895,-0.981851294,-3.383700114,-2.505942655,-1.510886352,-2.181774629,-3.209126362,,-4.486465042,-2.34305604,-3.369515273,-1.664194021
EX_ump_e,-4.353270696,,-16.0559745,,,,,,-509.7219854,-5.69326698,,-43.36591652,,
EX_ura_e,0,2.745494813,,-8.81767891,-128.0395142,,,-399.3058366,2.155589432,,,,,
EX_val__L_e,-9.002334637,-12.90876751,-20.55767099,-36.70357631,-98.82282601,-300,-6.393496903,-110.7014574,-26.7693968,-97.04238085,-18.9850152,-140,,-74.39822293
EX_zn2_e,-0.007254423,-0.010402375,-0.016566152,-0.003348113,-0.011538417,-0.008545264,-0.005152122,-0.007439851,-0.010943121,-0.00588535,-0.015298846,-0.007989821,-0.011490047,-0.005674902
Growth,19.14657075,27.45494813,43.72298055,8.836661649,30.45330102,22.5534839,13.59797716,19.63597166,28.88213726,15.53318051,40.37818538,21.08750436,30.32563745,14.97774619
ATPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
