,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
CYANST,5.861866236,,,0,,,,,,,,,,
CYANt2pp,15.83215576,,,0,,,,,,,,,,
CYANtex,15.83215576,,,0,,,,,,,,,,
CYOO2pp,2.57E-16,,,,,,,,0,7.362413566,,289.8462194,,
CYSTA,9.970289522,,,,0,0,,,,,0,,0,
CYTBD,214.2753863,,,,,,,,,,,,0,
CYTMQOR3pp,0,,0,,,,,,0,7.362413566,,289.8462194,0,
Clt,0.099657901,,0.227578114,0.045994824,0.158509432,0.117390884,0.070777471,0.102205233,0.150331524,,0.210168455,0.10976046,0.157844943,0.077959169
Cuabc,0.013574919,0,,0.006265193,0,,,0,0.020477435,,0,0.014951041,0,0.010619222
DALAt2pp,0,,,,,,,,,,,,0,
DB4PS,0,,0,0.007882302,,0.020117708,0.012129396,,,0,0.036017341,0.018810054,0.027050469,
DDPGA,0,,,,0,0,,,,,0,,0,0
DHAD1,0,0,0,0,0,331.6799065,8.34E-15,,0,-1.01E-13,1.21E-14,0,12.8326574,-9.74E-16
DHAD2,0,0,48.05152554,0,1.31E-29,0,0,5.10E-13,-1.42E-15,0,0,0,8.810477124,4.351469623
DHAPtr,-1000,,0,,-127.5092081,,,,-81.66972733,,,-1.312513701,,-37.02256733
DHNAOT_1,0.001914657,,,,,0.002255348,0.001359798,,,0.001553318,,,0.003032564,
DHPPDA2,0,,0,0,,0,0,,,0,0,0,0,
DHQTi,0,0,0,0,0,0,0,0,,0,0,0,0,
DMATT,0.001914657,0.002745495,0.004372298,0.000883666,0.00304533,0.002255348,0.001359798,0.001963597,0.002888214,1.55487137,0.004037819,0.00210875,0.003032564,0.001497775
DPMVD,0.015317257,0.021963959,,,,,0,0,0.02310571,,,0,,0
DTMPK,0.50098917,0.718386173,1.144055509,0.231220089,0.796841075,0.59013446,0.35580467,0.513794835,0.755730004,0.406441201,1.056535599,0.551775639,0.79350063,0.391907707
DTMPt6,0.50098917,,0,,,,0,0,0,,,0,0.79350063,0
DUTCP,-1000,,,,-72.75732687,,,,,,,,,
ECOAH1_1,-0.017018884,,,-292.4186856,-200,,-100.0108784,,,0,,-478.8724195,-678.8704681,
EHGLAT,0,,,,0,0,,,,,0,,0,0
