,reaction_id,flux
Gb1bin16_CS_Gb1bin16_C_c,Gb1bin16_CS_Gb1bin16_C_c,0.0
Gb1bin16_CTPS1_Gb1bin16_C_c,Gb1bin16_CTPS1_Gb1bin16_C_c,0.0
Gb1bin16_CTPS2_Gb1bin16_C_c,Gb1bin16_CTPS2_Gb1bin16_C_c,0.0
Gb1bin16_CYANST_Gb1bin16_C_c,Gb1bin16_CYANST_Gb1bin16_C_c,0.0
Gb1bin16_CYANt2pp,Gb1bin16_CYANt2pp,0.0
Gb1bin16_CYANtex,Gb1bin16_CYANtex,0.0
Gb1bin16_CYOO2pp,Gb1bin16_CYOO2pp,0.0
Gb1bin16_CYSTA_Gb1bin16_C_c,Gb1bin16_CYSTA_Gb1bin16_C_c,0.0
Gb1bin16_CYTBD,Gb1bin16_CYTBD,0.0
Gb1bin16_CYTMQOR3pp,Gb1bin16_CYTMQOR3pp,0.0
Gb1bin16_Clt,Gb1bin16_Clt,0.0
Gb1bin16_Cuabc,Gb1bin16_Cuabc,0.0
Gb1bin16_DALAt2pp,Gb1bin16_DALAt2pp,0.0
Gb1bin16_DB4PS_Gb1bin16_C_c,Gb1bin16_DB4PS_Gb1bin16_C_c,0.0
Gb1bin16_DDPGA_Gb1bin16_C_c,Gb1bin16_DDPGA_Gb1bin16_C_c,0.0
Gb1bin16_DHAD1_Gb1bin16_C_c,Gb1bin16_DHAD1_Gb1bin16_C_c,0.0
Gb1bin16_DHAD2_Gb1bin16_C_c,Gb1bin16_DHAD2_Gb1bin16_C_c,0.0
Gb1bin16_DHAPtr,Gb1bin16_DHAPtr,0.0
Gb1bin16_DHNAOT_1_Gb1bin16_C_c,Gb1bin16_DHNAOT_1_Gb1bin16_C_c,0.0
Gb1bin16_DHPPDA2_Gb1bin16_C_c,Gb1bin16_DHPPDA2_Gb1bin16_C_c,0.0
Gb1bin16_DHQTi_Gb1bin16_C_c,Gb1bin16_DHQTi_Gb1bin16_C_c,0.0
Gb1bin16_DMATT_Gb1bin16_C_c,Gb1bin16_DMATT_Gb1bin16_C_c,0.0
Gb1bin16_DPMVD_Gb1bin16_C_c,Gb1bin16_DPMVD_Gb1bin16_C_c,0.0
Gb1bin16_DTMPK_Gb1bin16_C_c,Gb1bin16_DTMPK_Gb1bin16_C_c,0.0
Gb1bin16_DTMPt6,Gb1bin16_DTMPt6,0.0
Gb1bin16_DUTCP_Gb1bin16_C_c,Gb1bin16_DUTCP_Gb1bin16_C_c,0.0
Gb1bin16_ECOAH1_1_Gb1bin16_C_c,Gb1bin16_ECOAH1_1_Gb1bin16_C_c,0.0
Gb1bin16_EHGLAT_Gb1bin16_C_c,Gb1bin16_EHGLAT_Gb1bin16_C_c,0.0
Gb1bin16_ENO_Gb1bin16_C_c,Gb1bin16_ENO_Gb1bin16_C_c,0.0
Gb1bin16_FADMQOR_Gb1bin16_C_c,Gb1bin16_FADMQOR_Gb1bin16_C_c,0.0
Gb1bin16_FBA_Gb1bin16_C_c,Gb1bin16_FBA_Gb1bin16_C_c,0.0
Gb1bin16_FE2t,Gb1bin16_FE2t,0.0
Gb1bin16_FE3DCITCH_Gb1bin16_C_c,Gb1bin16_FE3DCITCH_Gb1bin16_C_c,0.0
Gb1bin16_FE3DCITR5_Gb1bin16_C_c,Gb1bin16_FE3DCITR5_Gb1bin16_C_c,0.0
Gb1bin16_FE3PYOVDL2_Gb1bin16_C_e,Gb1bin16_FE3PYOVDL2_Gb1bin16_C_e,0.0
Gb1bin16_FEROc_Gb1bin16_C_c,Gb1bin16_FEROc_Gb1bin16_C_c,0.0
Gb1bin16_FMNAT_Gb1bin16_C_c,Gb1bin16_FMNAT_Gb1bin16_C_c,0.0
Gb1bin16_FORt2,Gb1bin16_FORt2,0.0
Gb1bin16_FTHFLi_Gb1bin16_C_c,Gb1bin16_FTHFLi_Gb1bin16_C_c,0.0
Gb1bin16_FUM_Gb1bin16_C_c,Gb1bin16_FUM_Gb1bin16_C_c,0.0
Gb1bin16_FUMtr,Gb1bin16_FUMtr,0.0
Gb1bin16_G1PACT_Gb1bin16_C_c,Gb1bin16_G1PACT_Gb1bin16_C_c,0.0
Gb1bin16_G1SAT_Gb1bin16_C_c,Gb1bin16_G1SAT_Gb1bin16_C_c,0.0
Gb1bin16_G5SADs_Gb1bin16_C_c,Gb1bin16_G5SADs_Gb1bin16_C_c,0.0
Gb1bin16_G5SD_Gb1bin16_C_c,Gb1bin16_G5SD_Gb1bin16_C_c,0.0
Gb1bin16_GAM6Pt,Gb1bin16_GAM6Pt,0.0
Gb1bin16_GCCa_Gb1bin16_C_c,Gb1bin16_GCCa_Gb1bin16_C_c,0.0
Gb1bin16_GCCb_Gb1bin16_C_c,Gb1bin16_GCCb_Gb1bin16_C_c,0.0
Gb1bin16_GCCc_Gb1bin16_C_c,Gb1bin16_GCCc_Gb1bin16_C_c,0.0
Gb1bin16_GCDH_Gb1bin16_C_c,Gb1bin16_GCDH_Gb1bin16_C_c,0.0
Gb1bin16_GGLUCT2_Gb1bin16_C_c,Gb1bin16_GGLUCT2_Gb1bin16_C_c,0.0
Gb1bin16_GHMT2r_Gb1bin16_C_c,Gb1bin16_GHMT2r_Gb1bin16_C_c,0.0
Gb1bin16_GK1_Gb1bin16_C_c,Gb1bin16_GK1_Gb1bin16_C_c,0.0
Gb1bin16_GLCOAS_Gb1bin16_C_c,Gb1bin16_GLCOAS_Gb1bin16_C_c,0.0
Gb1bin16_GLNS_Gb1bin16_C_c,Gb1bin16_GLNS_Gb1bin16_C_c,0.0
Gb1bin16_GLU5K_Gb1bin16_C_c,Gb1bin16_GLU5K_Gb1bin16_C_c,0.0
Gb1bin16_GLUABUTt7,Gb1bin16_GLUABUTt7,0.0
Gb1bin16_GLUDC_Gb1bin16_C_c,Gb1bin16_GLUDC_Gb1bin16_C_c,0.0
Gb1bin16_GLUDy_1_Gb1bin16_C_c,Gb1bin16_GLUDy_1_Gb1bin16_C_c,0.0
Gb1bin16_GLUN_Gb1bin16_C_c,Gb1bin16_GLUN_Gb1bin16_C_c,0.0
Gb1bin16_GLUSx_Gb1bin16_C_c,Gb1bin16_GLUSx_Gb1bin16_C_c,0.0
Gb1bin16_GLUTARt2rpp,Gb1bin16_GLUTARt2rpp,0.0
Gb1bin16_GLUTARtex,Gb1bin16_GLUTARtex,0.0
Gb1bin16_GLU_Dt2,Gb1bin16_GLU_Dt2,0.0
Gb1bin16_GLUt2rpp,Gb1bin16_GLUt2rpp,0.0
Gb1bin16_GLYCL_Gb1bin16_C_c,Gb1bin16_GLYCL_Gb1bin16_C_c,0.0
Gb1bin16_GLYCLTDx_Gb1bin16_C_c,Gb1bin16_GLYCLTDx_Gb1bin16_C_c,0.0
Gb1bin16_GLYCLTt,Gb1bin16_GLYCLTt,0.0
Gb1bin16_GLYCTO1_Gb1bin16_C_c,Gb1bin16_GLYCTO1_Gb1bin16_C_c,0.0
Gb1bin16_GMPS_Gb1bin16_C_c,Gb1bin16_GMPS_Gb1bin16_C_c,0.0
Gb1bin16_GMPS2_Gb1bin16_C_c,Gb1bin16_GMPS2_Gb1bin16_C_c,0.0
Gb1bin16_GRTT_Gb1bin16_C_c,Gb1bin16_GRTT_Gb1bin16_C_c,0.0
Gb1bin16_GSEALD_Gb1bin16_C_c,Gb1bin16_GSEALD_Gb1bin16_C_c,0.0
Gb1bin16_GTHOXti,Gb1bin16_GTHOXti,0.0
Gb1bin16_GTHRDHpp_Gb1bin16_C_p,Gb1bin16_GTHRDHpp_Gb1bin16_C_p,0.0
Gb1bin16_GTHRDabc2pp,Gb1bin16_GTHRDabc2pp,0.0
Gb1bin16_GTHRDabcpp,Gb1bin16_GTHRDabcpp,0.0
Gb1bin16_GTMLT_Gb1bin16_C_c,Gb1bin16_GTMLT_Gb1bin16_C_c,0.0
Gb1bin16_GTPCII2_Gb1bin16_C_c,Gb1bin16_GTPCII2_Gb1bin16_C_c,0.0
Gb1bin16_GUAt,Gb1bin16_GUAt,0.0
Gb1bin16_GUAt2r,Gb1bin16_GUAt2r,0.0
Gb1bin16_H2Ot,Gb1bin16_H2Ot,0.0
Gb1bin16_H2Otex,Gb1bin16_H2Otex,0.0
Gb1bin16_H2Otpp,Gb1bin16_H2Otpp,0.0
Gb1bin16_H2SO_Gb1bin16_C_c,Gb1bin16_H2SO_Gb1bin16_C_c,0.0
Gb1bin16_H2St1,Gb1bin16_H2St1,0.0
Gb1bin16_HACD1_1_Gb1bin16_C_c,Gb1bin16_HACD1_1_Gb1bin16_C_c,0.0
Gb1bin16_HCO3E_Gb1bin16_C_c,Gb1bin16_HCO3E_Gb1bin16_C_c,0.0
Gb1bin16_HEX7_1_Gb1bin16_C_c,Gb1bin16_HEX7_1_Gb1bin16_C_c,0.0
Gb1bin16_HISTD_Gb1bin16_C_c,Gb1bin16_HISTD_Gb1bin16_C_c,0.0
Gb1bin16_HISTP_Gb1bin16_C_c,Gb1bin16_HISTP_Gb1bin16_C_c,0.0
Gb1bin16_HISabcpp,Gb1bin16_HISabcpp,0.0
Gb1bin16_HIStex,Gb1bin16_HIStex,0.0
Gb1bin16_HMBS_1_Gb1bin16_C_c,Gb1bin16_HMBS_1_Gb1bin16_C_c,0.0
Gb1bin16_HMGCOAR_Gb1bin16_C_c,Gb1bin16_HMGCOAR_Gb1bin16_C_c,0.0
Gb1bin16_HMGCOAS_Gb1bin16_C_c,Gb1bin16_HMGCOAS_Gb1bin16_C_c,0.0
Gb1bin16_HMR_9638,Gb1bin16_HMR_9638,0.0
Gb1bin16_HPROb_Gb1bin16_C_c,Gb1bin16_HPROb_Gb1bin16_C_c,0.0
Gb1bin16_HSTPTr_Gb1bin16_C_c,Gb1bin16_HSTPTr_Gb1bin16_C_c,0.0
Gb1bin16_ICL_Gb1bin16_C_c,Gb1bin16_ICL_Gb1bin16_C_c,0.0
Gb1bin16_ID6P_Gb1bin16_C_c,Gb1bin16_ID6P_Gb1bin16_C_c,0.0
Gb1bin16_IG3PS_Gb1bin16_C_c,Gb1bin16_IG3PS_Gb1bin16_C_c,0.0
Gb1bin16_IGPDH_Gb1bin16_C_c,Gb1bin16_IGPDH_Gb1bin16_C_c,0.0
Gb1bin16_IGPDH_1_Gb1bin16_C_c,Gb1bin16_IGPDH_1_Gb1bin16_C_c,0.0
Gb1bin16_ILEDHr_1_Gb1bin16_C_c,Gb1bin16_ILEDHr_1_Gb1bin16_C_c,0.0
Gb1bin16_ILEt2r,Gb1bin16_ILEt2r,0.0
Gb1bin16_IMPC_Gb1bin16_C_c,Gb1bin16_IMPC_Gb1bin16_C_c,0.0
Gb1bin16_IMPD_Gb1bin16_C_c,Gb1bin16_IMPD_Gb1bin16_C_c,0.0
Gb1bin16_IPDDI_Gb1bin16_C_c,Gb1bin16_IPDDI_Gb1bin16_C_c,0.0
Gb1bin16_IPMD_Gb1bin16_C_c,Gb1bin16_IPMD_Gb1bin16_C_c,0.0
Gb1bin16_IPPMIa_Gb1bin16_C_c,Gb1bin16_IPPMIa_Gb1bin16_C_c,0.0
Gb1bin16_IPPMIb_Gb1bin16_C_c,Gb1bin16_IPPMIb_Gb1bin16_C_c,0.0
Gb1bin16_IPPS_Gb1bin16_C_c,Gb1bin16_IPPS_Gb1bin16_C_c,0.0
Gb1bin16_KARA1_Gb1bin16_C_c,Gb1bin16_KARA1_Gb1bin16_C_c,0.0
Gb1bin16_KARA2_Gb1bin16_C_c,Gb1bin16_KARA2_Gb1bin16_C_c,0.0
Gb1bin16_Kt1,Gb1bin16_Kt1,0.0
Gb1bin16_LADGMDH_Gb1bin16_C_c,Gb1bin16_LADGMDH_Gb1bin16_C_c,0.0
Gb1bin16_LALGP_Gb1bin16_C_c,Gb1bin16_LALGP_Gb1bin16_C_c,0.0
Gb1bin16_LEUt2r,Gb1bin16_LEUt2r,0.0
Gb1bin16_LYSt5r,Gb1bin16_LYSt5r,0.0
Gb1bin16_MALS_Gb1bin16_C_c,Gb1bin16_MALS_Gb1bin16_C_c,0.0
Gb1bin16_MAN6PI_Gb1bin16_C_c,Gb1bin16_MAN6PI_Gb1bin16_C_c,0.0
Gb1bin16_MAN6Pt6,Gb1bin16_MAN6Pt6,0.0
Gb1bin16_MBCOAi_Gb1bin16_C_c,Gb1bin16_MBCOAi_Gb1bin16_C_c,0.0
Gb1bin16_MCA_Gb1bin16_C_c,Gb1bin16_MCA_Gb1bin16_C_c,0.0
Gb1bin16_MCCC_Gb1bin16_C_c,Gb1bin16_MCCC_Gb1bin16_C_c,0.0
Gb1bin16_MCD_Gb1bin16_C_c,Gb1bin16_MCD_Gb1bin16_C_c,0.0
Gb1bin16_MCITD_Gb1bin16_C_c,Gb1bin16_MCITD_Gb1bin16_C_c,0.0
Gb1bin16_MCPST_Gb1bin16_C_c,Gb1bin16_MCPST_Gb1bin16_C_c,0.0
Gb1bin16_MCTP1App_Gb1bin16_C_p,Gb1bin16_MCTP1App_Gb1bin16_C_p,0.0
Gb1bin16_MDDEP2pp_Gb1bin16_C_p,Gb1bin16_MDDEP2pp_Gb1bin16_C_p,0.0
Gb1bin16_METAT_Gb1bin16_C_c,Gb1bin16_METAT_Gb1bin16_C_c,0.0
Gb1bin16_METS_Gb1bin16_C_c,Gb1bin16_METS_Gb1bin16_C_c,0.0
Gb1bin16_METabc,Gb1bin16_METabc,0.0
Gb1bin16_MEVK2_Gb1bin16_C_c,Gb1bin16_MEVK2_Gb1bin16_C_c,0.0
Gb1bin16_MEVRt,Gb1bin16_MEVRt,0.0
Gb1bin16_MGCH_Gb1bin16_C_c,Gb1bin16_MGCH_Gb1bin16_C_c,0.0
Gb1bin16_MGt5,Gb1bin16_MGt5,0.0
Gb1bin16_MICITDr_Gb1bin16_C_c,Gb1bin16_MICITDr_Gb1bin16_C_c,0.0
Gb1bin16_MLDCP1App_Gb1bin16_C_p,Gb1bin16_MLDCP1App_Gb1bin16_C_p,0.0
Gb1bin16_MLTGY2pp_Gb1bin16_C_p,Gb1bin16_MLTGY2pp_Gb1bin16_C_p,0.0
Gb1bin16_MMCD_Gb1bin16_C_c,Gb1bin16_MMCD_Gb1bin16_C_c,0.0
Gb1bin16_MME_Gb1bin16_C_c,Gb1bin16_MME_Gb1bin16_C_c,0.0
Gb1bin16_MMM_Gb1bin16_C_c,Gb1bin16_MMM_Gb1bin16_C_c,0.0
Gb1bin16_MMM2_Gb1bin16_C_c,Gb1bin16_MMM2_Gb1bin16_C_c,0.0
Gb1bin16_MNt2,Gb1bin16_MNt2,0.0
Gb1bin16_MPTG,Gb1bin16_MPTG,0.0
Gb1bin16_MTHFR2_Gb1bin16_C_c,Gb1bin16_MTHFR2_Gb1bin16_C_c,0.0
Gb1bin16_MVNOR_Gb1bin16_C_c,Gb1bin16_MVNOR_Gb1bin16_C_c,0.0
Gb1bin16_NADDP_Gb1bin16_C_c,Gb1bin16_NADDP_Gb1bin16_C_c,0.0
Gb1bin16_NADDPp_1_Gb1bin16_C_c,Gb1bin16_NADDPp_1_Gb1bin16_C_c,0.0
Gb1bin16_NADH17pp,Gb1bin16_NADH17pp,0.0
Gb1bin16_NADH6,Gb1bin16_NADH6,0.0
Gb1bin16_NADK2_Gb1bin16_C_c,Gb1bin16_NADK2_Gb1bin16_C_c,0.0
Gb1bin16_NADK3_Gb1bin16_C_c,Gb1bin16_NADK3_Gb1bin16_C_c,0.0
Gb1bin16_NADK4_Gb1bin16_C_c,Gb1bin16_NADK4_Gb1bin16_C_c,0.0
Gb1bin16_NADKd_Gb1bin16_C_c,Gb1bin16_NADKd_Gb1bin16_C_c,0.0
Gb1bin16_NDPK1_Gb1bin16_C_c,Gb1bin16_NDPK1_Gb1bin16_C_c,0.0
Gb1bin16_NDPK2_Gb1bin16_C_c,Gb1bin16_NDPK2_Gb1bin16_C_c,0.0
Gb1bin16_NDPK3_Gb1bin16_C_c,Gb1bin16_NDPK3_Gb1bin16_C_c,0.0
Gb1bin16_NDPK4_Gb1bin16_C_c,Gb1bin16_NDPK4_Gb1bin16_C_c,0.0
Gb1bin16_NDPK5_Gb1bin16_C_c,Gb1bin16_NDPK5_Gb1bin16_C_c,0.0
Gb1bin16_NDPK6_Gb1bin16_C_c,Gb1bin16_NDPK6_Gb1bin16_C_c,0.0
Gb1bin16_NDPK7_Gb1bin16_C_c,Gb1bin16_NDPK7_Gb1bin16_C_c,0.0
Gb1bin16_NDPK8_Gb1bin16_C_c,Gb1bin16_NDPK8_Gb1bin16_C_c,0.0
Gb1bin16_NDPK9_Gb1bin16_C_c,Gb1bin16_NDPK9_Gb1bin16_C_c,0.0
Gb1bin16_NH3c_Gb1bin16_C_c,Gb1bin16_NH3c_Gb1bin16_C_c,0.0
Gb1bin16_NH4tex,Gb1bin16_NH4tex,0.0
Gb1bin16_NH4tpp,Gb1bin16_NH4tpp,0.0
Gb1bin16_NMNP,Gb1bin16_NMNP,0.0
Gb1bin16_NPHS_Gb1bin16_C_c,Gb1bin16_NPHS_Gb1bin16_C_c,0.0
Gb1bin16_NTP3_Gb1bin16_C_c,Gb1bin16_NTP3_Gb1bin16_C_c,0.0
Gb1bin16_NTPP9_1_Gb1bin16_C_c,Gb1bin16_NTPP9_1_Gb1bin16_C_c,0.0
Gb1bin16_O2tex,Gb1bin16_O2tex,0.0
Gb1bin16_O2tpp,Gb1bin16_O2tpp,0.0
Gb1bin16_OCBT_2_Gb1bin16_C_c,Gb1bin16_OCBT_2_Gb1bin16_C_c,0.0
Gb1bin16_OCTDPS_Gb1bin16_C_c,Gb1bin16_OCTDPS_Gb1bin16_C_c,0.0
Gb1bin16_OIVD1r_Gb1bin16_C_c,Gb1bin16_OIVD1r_Gb1bin16_C_c,0.0
Gb1bin16_OMCDC_Gb1bin16_C_c,Gb1bin16_OMCDC_Gb1bin16_C_c,0.0
Gb1bin16_OPAH_Gb1bin16_C_c,Gb1bin16_OPAH_Gb1bin16_C_c,0.0
Gb1bin16_ORNTA_1_Gb1bin16_C_c,Gb1bin16_ORNTA_1_Gb1bin16_C_c,0.0
Gb1bin16_ORNt,Gb1bin16_ORNt,0.0
Gb1bin16_P52O_Gb1bin16_C_c,Gb1bin16_P52O_Gb1bin16_C_c,0.0
Gb1bin16_P5CRx_Gb1bin16_C_c,Gb1bin16_P5CRx_Gb1bin16_C_c,0.0
Gb1bin16_PAPPT3_Gb1bin16_C_c,Gb1bin16_PAPPT3_Gb1bin16_C_c,0.0
