,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
CHORt2,6.874916613,0.00305055,392.5205188,102.0112463,,154.1934595,66.02336774,402.6780978,,,320.3487804,12.55661565,,148.7964459
CO2t,500,598.3846843,283.3333333,100,200,300,121.3718115,793.1332022,823.9738409,1000,283.2925159,350,402.2963179,1000
CO2tex,500,598.3846843,283.3333333,100,200,300,121.3718115,793.1332022,823.9738409,1000,283.2925159,350,402.2963179,1000
CO2tpp,500,598.3846843,283.3333333,100,200,300,121.3718115,794.1812203,823.9738409,1000,283.2925159,350,402.2963179,1000
COAt,0.012253805,0.017571167,-0.202393677,0.005655463,0.019490113,0.01443423,0.008702705,0.01253666,0.018484568,0.009938444,0.025842039,0.013496003,0.019408408,
COBALTt5,-0.001914657,,-0.004372298,,,,-0.001359798,129.7599412,-0.002888214,,-0.004037819,-0.00210875,208.7006604,-0.001497775
CS,100.5435405,,393.6357626,359.6765228,200,150,121.3718115,102.1190713,175.2513438,364.9260608,999.986231,496.0207319,208.703693,
CTPS1,3.415003634,,7.798479392,6.271095081,200,15.23457332,21.79511543,68.03301673,,3.218110763,42.43229224,20.06182334,46.68930351,42.92265854
CTPS2,3.405699253,,7.777073739,6.059114402,100,14.14638951,18.68152751,56.13678582,,3.208183561,37.76084722,18.01121107,38.65673516,30.65904181
CYANST,89.19519957,,,57.14285714,,,,,,,,,,
CYANt2pp,143.9355516,,,57.14285714,,,,,,,,,,
CYANtex,143.9355516,,,57.14285714,,,,,,,,,,
CYOO2pp,257.4258359,,,,,,,,999.9971118,1000,,1000,,
CYSTA,95.37255342,,,,100,100,,,,,69.64103921,,138.9865275,
CYTBD,852.4129961,,,,,,,,,,,,1000,
CYTMQOR3pp,257.4258359,,212.5,,,,,,999.9971118,1000,,1000,728.3610517,
Clt,0.110731001,,1000,1000,0.176121591,1000,0.078641635,1000,0.167035027,,1000,1000,0.17538327,1000
Cuabc,0.015083243,97.1623227,,28.57769376,100.0215914,,,64.89487428,90.40509282,,137.5286281,70.01495104,100.0215009,100.0106192
DALAt2pp,2.116761998,,,,,,,,,,,,44.44444444,
DB4PS,0.007115904,,67.71257553,12.28066515,,82.90915584,0.013477106,,,0.015394543,51.5437475,39.21299417,50.31409021,
DDPGA,265.9646893,,,,100,673.9997173,,,,,159.1224514,,110.9167329,148.7964459
DHAD1,0.017018942,151.9202204,524.8476835,403.7393394,378.8895325,524.5843216,106.1317494,,28.03791239,519.2330696,323.7628753,497.2964245,598.5378266,75.41359056
DHAD2,6.180704505,8.862731807,979.1943923,24.26248579,219.7145687,153.2773482,44.7384837,587.1535463,9.323442729,96.2962963,106.6972464,116.6666667,78.95587244,4.834966247
DHAPtr,-488.9116656,,225.3255477,,1000,,,,62.2818591,,,368.0415831,,110.0783756
DHNAOT_1,0.002110347,,,,,0.002505943,0.001510886,,,0.001725909,,,0.003369515,
DHPPDA2,0.003537862,,33.85628777,6.140332576,,41.45457792,0.006738553,,,0.007697272,25.77187375,19.60649709,25.1570451,
DHQTi,6.804180807,0.003050527,70.15290819,7.686410375,66.66666667,30.40198209,18.18181818,43.2436862,,51.07456225,46.80851064,11.18535755,25.20304713,
DMATT,0.002127397,0.00305055,18.74893242,0.000981851,5.717331044,13.04573361,0.001510886,29.97150422,0.003209126,44.36076917,11.72918413,7.5280841,5.227660069,4.315810383
DPMVD,0.017019174,0.024404398,,,,,0.012087091,27.37294859,0.025673011,,,15.06671195,,34.52648306
DTMPK,0.556654634,0.798206859,142.8107222,0.25691121,0.885378972,0.655704955,50.35580467,0.570883149,0.839700004,104.4064412,138.5565356,0.613084043,100.7935006,0.435453008
DTMPt6,0.556654634,,1.271172788,,,,0.395338523,0.570883149,0.814026993,,,0.613084043,0.881667366,0.435453008
DUTCP,509.7572839,,,,-6.090660205,,,,,,,,,
ECOAH1_1,0,,,781.3210482,0,,0,,,0,,73.71546351,113.9862674,
EHGLAT,265.9646893,,,,100,673.9997173,,,,,159.1224514,,110.9167329,148.7964459
ENO,1000,455.9585521,1000,0,1000,323.9387865,,,59.55519167,220.0313732,205.1764234,133.9986129,,
FADMQOR,0.017018942,562.5430071,,344.6582401,,1000,1000,168.8582236,,,,1000,,
FBA,500.0053238,0.004163128,,0,,113.5747201,,,,140.0350575,0,0,,
FE2t,6.751575699,,,,14.32658376,,,,802.5261155,,,,1000,403.8463451
FE3DCITCH,1000,,0,,1.20E-15,,,0,,-2.77E-16,216.0271005,,0,207.1588984
FE3DCITR5,500,,,,,,,,,,,,,
FE3PYOVDL2,1000,999.7856318,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
FEROc,250.0415268,,,,500.0660498,,,,200.583043,,,,,51.81896115
FMNAT,0.004744095,0.006802726,77.89881764,4.801178197,200.0067911,25.00502943,0.003369277,93.01360856,90.3910561,0.003848777,17.71478658,13.89390368,25.15028249,
FORt2,0.007116142,,,,,,,,,,,,,1000
FTHFLi,0.010673856,26.02597856,283.3333333,80,27.03533263,19.02267726,,23.21241429,180.7756715,,,140.0376201,200,100.00334
FUM,0,64.0440951,281.6519786,,,329.3731612,0,0,,108.2270233,,491.6051561,1000,
FUMtr,-2.27E-15,,,,,329.3731612,,,-8.54021693,,,,,
G1PACT,6.302401818,,57.13666005,0.981851294,32.75732687,,20.90141361,26.92673393,,3.451817892,,2.34305604,206.0651275,50
G1SAT,0,12.81176458,,30.47619048,0,,109.6228465,,,0,171.875,,130.6507615,66.66666667
G5SADs,4.702716887,,,,,,7.627610697,,,59.68392857,,,,573.9553848
G5SD,4.672091571,,283.3333333,100,200,,7.627610697,,,59.68392857,,61.30378535,,
GAM6Pt,6.302401818,0,,0.981851294,32.75732687,,,,0,3.451817892,0,,6.739030545,
GCCa,14.42140002,,212.5,66.66666667,1000,1000,183.1716228,337.474515,,1000,56.63052958,1000,421.6729749,
GCCb,14.42140002,,212.5,66.66666667,1000,1000,183.1716228,337.474515,,1000,56.63052958,1000,421.6729749,
GCCc,14.42140002,,212.5,66.66666667,1000,1000,183.1716228,337.474515,,1000,56.63052958,1000,421.6729749,
GCDH,0.017018884,0,,0,66.66666667,150,,90.08264463,,,,,80.45926358,
GGLUCT2,97.12599637,2.789561186,72.99649865,,70.28900054,74.88885748,38.8176588,87.52635126,,53.17292071,69.64103921,106.0507611,69.90827817,
GHMT2r,12.95320445,0.808060135,139.1121566,324.261134,218.0728922,49.9999182,56.97862126,148.6071048,107.7922378,295.5550148,,236.8612517,124.9014723,17.52031832
GK1,5.154089782,,152.2818193,59.28626896,8.192377856,65.48563878,103.2983117,,,,284.7940923,,,
GLCOAS,0.017018884,,,,40,75,,34.63983051,,,94.43083863,,80.45926358,33.59928124
GLNS,130.0450161,220.8241339,303.584069,,208.034464,155.9402042,106.7582133,131.9373365,188.3762947,108.0911757,285.6529363,152.5193055,207.99402,103.9448837
GLU5K,4.672091571,,283.3333333,100,200,,7.627610697,,,59.68392857,275,61.30378535,,
GLUABUTt7,500,,,,,299.9954893,,,,53.06122449,,,,
GLUDC,500,,94.44444444,,,300,,,160.0500973,,,,,
GLUDy_1,330.7358074,,,,,,1000,,,,1000,,,
GLUN,125,194.2857143,,133.3333333,200,150,,,180.7692308,104,,140,200,100
GLUSx,125,194.2857143,283.3333333,133.3333333,200,,80.58607961,290.086712,,104,275,144.8470599,200,
GLUTARt2rpp,0.017018884,,,,,,,,,,,,,33.59928124
GLUTARtex,0.017018884,,,,,,,,,,,,,33.59928124
GLU_Dt2,2.116739537,3.050549793,,,,,,,,,,,,
GLUt2rpp,166.6666667,2.793342695,,,105.4335008,616.4128243,1000,167.3503836,,108.3333333,57.20513935,,84.48490098,
GLYCL,14.42140002,,212.5,66.66666667,1000,1000,183.1716228,337.474515,221.0875619,1000,56.63052958,1000,421.6729749,
GLYCLTDx,1000,954.4670983,,374.8575942,1000,1000,1000,,,1000,882.075013,1000,1000,1000
GLYCLTt,530.2985081,,,-51.71866175,,,,,,,,695.7779337,,999.9985022
GLYCTO1,1000,954.4670983,143.1255592,,968.7227088,1000,1000,149.5405045,,725.0467033,882.0806407,,997.5611213,
GMPS,5.154089782,7.065019993,30.0914537,8.279803237,8.060431301,23.38837252,,48.00809226,180.7692308,4.194709353,293.0199766,,107.3557563,4.02923007
GMPS2,5.132925336,,,7.917184118,8.028076422,20.46482596,10.99061944,42.07657423,90.38461538,4.177858486,146.5099883,,71.5705042,4.013060526
GRTT,0.002127397,0.00305055,18.74893242,0.000981851,5.717331044,13.04573361,0.001510886,29.97150422,0.003209126,44.36076917,11.72918413,7.5280841,5.227660069,4.315810383
GSEALD,0,,0,,0,0,,,0,,,,,
GTHOXti,89.19519957,,,,,,,,,53.17292071,,,52.43120863,
GTHRDHpp,166.6666667,2.793368782,87.59579838,44.44444444,105.4335008,75,,167.3503836,,52.13031442,57.20513935,106.0507611,84.48490098,
GTHRDabc2pp,166.6666667,,,,,75,,,,52.13031442,57.20513935,,,
GTHRDabcpp,62.5,2.789561186,97.32866486,33.33333333,105.4335008,,54.34472232,240.4459535,,,,250.2507729,,
GTMLT,97.12599637,2.789561186,72.99649865,,70.28900054,74.88885748,38.8176588,87.52635126,,53.17292071,69.64103921,106.0507611,69.90827817,
GTPCII2,0.003557952,,33.85628777,6.140332576,,41.45457792,0.006738553,,,0.007697272,25.77187375,19.60649709,25.1570451,
GUAt,0,,,,8.158895913,,,,,,,,,
GUAt2r,1000,,,,1000,,,,,,,,,
H2Ot,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
H2Otex,1000,685.730869,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
H2Otpp,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
H2SO,0.092286471,0.13233285,141.856337,499.9913754,200.1321064,0.108707792,100.058988,,,104.0673829,330.8657102,,0.146169573,100.0649735
H2St1,-5.94492406,-0.119099565,1000,758.6172662,198.4700414,1000,1000,238.6496548,391.776775,104.8524659,1000,248.3338555,1000,-0.064973463
HACD1_1,0,,,781.3210482,0,,0,,,0,,73.71546351,113.9862674,
HCO3E,129.6153766,208.1666074,316.6695778,57.14285714,200,1000,100.0054392,129.7619048,180.7692308,104,275,233.3333333,1000,100
HEX7_1,250.0083572,,,,,,,,,157.789799,,93.33333333,100.0067626,
HISTD,0.00592992,,,,,19.01764783,,23.20803547,,1.624488757,4.21037875,2.19953712,,
HISTP,0.00592992,,4.560360185,,3.180163587,19.01764783,1.41517821,23.20803547,,,4.21037875,2.19953712,3.174477573,
